대여일시,대여건수,,,,
2022-07-01," 157,478 ",,,,
2022-07-02," 131,815 ",,,,
2022-07-03," 114,470 ",,,,
2022-07-04," 151,497 ",,,,
2022-07-05," 149,259 ",,,,
2022-07-06," 142,649 ",,,,
2022-07-07," 116,854 ",,,,
2022-07-08," 150,313 ",,,,
2022-07-09," 134,633 ",,,,
2022-07-10," 110,494 ",,,,
2022-07-11," 146,165 ",,,,
2022-07-12," 167,309 ",,,,
2022-07-13," 21,922 ",,,,
2022-07-14," 152,774 ",,,,
2022-07-15," 167,144 ",,,,
2022-07-16," 110,506 ",,,,
2022-07-17," 128,631 ",,,,
2022-07-18," 166,820 ",,,,
2022-07-19," 168,900 ",,,,
2022-07-20," 145,087 ",,,,
2022-07-21," 112,449 ",,,,
2022-07-22," 153,209 ",,,,
2022-07-23," 79,826 ",,,,
2022-07-24," 113,217 ",,,,
2022-07-25," 145,899 ",,,,
2022-07-26," 160,600 ",,,,
2022-07-27," 161,296 ",,,,
2022-07-28," 155,345 ",,,,
2022-07-29," 147,170 ",,,,
2022-07-30," 107,582 ",,,,
2022-07-31," 29,814 ",,,,
2022-08-01," 108,030 ",,,,
2022-08-02," 57,524 ",,,,
2022-08-03," 102,130 ",,,,
2022-08-04," 148,807 ",,,,
2022-08-05," 145,855 ",,,,
2022-08-06," 106,406 ",,,,
2022-08-07," 97,939 ",,,,
2022-08-08," 21,616 ",,,,
2022-08-09, 482 ,,,,
2022-08-10," 108,151 ",,,,
2022-08-11," 108,359 ",,,,
2022-08-12," 147,097 ",,,,
2022-08-13," 82,347 ",,,,
2022-08-14," 87,778 ",,,,
2022-08-15," 83,889 ",,,,
2022-08-16," 154,263 ",,,,
2022-08-17," 157,994 ",,,,
2022-08-18," 162,179 ",,,,
2022-08-19," 83,749 ",,,,
2022-08-20," 124,465 ",,,,
2022-08-21," 122,389 ",,,,
2022-08-22," 146,073 ",,,,
2022-08-23," 152,206 ",,,,
2022-08-24," 174,857 ",,,,
2022-08-25," 135,159 ",,,,
2022-08-26," 177,282 ",,,,
2022-08-27," 173,160 ",,,,
2022-08-28," 160,420 ",,,,
2022-08-29," 108,865 ",,,,
2022-08-30," 16,813 ",,,,
2022-08-31," 164,301 ",,,,
2022-09-01," 179,336 ",,,,
2022-09-02," 187,990 ",,,,
2022-09-03," 170,688 ",,,,
2022-09-04," 39,346 ",,,,
2022-09-05," 5,208 ",,,,
2022-09-06," 142,342 ",,,,
2022-09-07," 179,905 ",,,,
2022-09-08," 183,813 ",,,,
2022-09-09," 123,214 ",,,,
2022-09-10," 108,686 ",,,,
2022-09-11," 107,761 ",,,,
2022-09-12," 151,839 ",,,,
2022-09-13," 167,657 ",,,,
2022-09-14," 179,633 ",,,,
2022-09-15," 184,021 ",,,,
2022-09-16," 132,178 ",,,,
2022-09-17," 147,264 ",,,,
2022-09-18," 146,847 ",,,,
2022-09-19," 183,189 ",,,,
2022-09-20," 191,649 ",,,,
2022-09-21," 191,553 ",,,,
2022-09-22," 189,285 ",,,,
2022-09-23," 178,981 ",,,,
2022-09-24," 176,719 ",,,,
2022-09-25," 162,743 ",,,,
2022-09-26," 187,571 ",,,,
2022-09-27," 190,672 ",,,,
2022-09-28," 191,600 ",,,,
2022-09-29," 186,204 ",,,,
2022-09-30," 192,638 ",,,,
2022-10-01," 167,146 ",,,,
2022-10-02," 74,506 ",,,,
2022-10-03," 10,809 ",,,,
2022-10-04," 146,100 ",,,,
2022-10-05," 179,824 ",,,,
2022-10-06," 169,381 ",,,,
2022-10-07," 181,964 ",,,,
2022-10-08," 166,740 ",,,,
2022-10-09," 24,968 ",,,,
2022-10-10," 72,486 ",,,,
2022-10-11," 157,516 ",,,,
2022-10-12," 171,262 ",,,,
2022-10-13," 175,695 ",,,,
2022-10-14," 180,404 ",,,,
2022-10-15," 160,508 ",,,,
2022-10-16," 134,682 ",,,,
2022-10-17," 149,615 ",,,,
2022-10-18," 152,318 ",,,,
2022-10-19," 159,650 ",,,,
2022-10-20," 163,096 ",,,,
2022-10-21," 167,708 ",,,,
2022-10-22," 146,898 ",,,,
2022-10-23," 124,544 ",,,,
2022-10-24," 147,964 ",,,,
2022-10-25," 157,819 ",,,,
2022-10-26," 163,030 ",,,,
2022-10-27," 163,519 ",,,,
2022-10-28," 167,013 ",,,,
2022-10-29," 146,310 ",,,,
2022-10-30," 126,689 ",,,,
2022-10-31," 160,105 ",,,,
2022-11-01," 162,918 ",,,,
2022-11-02," 161,139 ",,,,
2022-11-03," 146,670 ",,,,
2022-11-04," 127,701 ",,,,
2022-11-05," 109,291 ",,,,
2022-11-06," 106,962 ",,,,
2022-11-07," 146,674 ",,,,
2022-11-08," 157,941 ",,,,
2022-11-09," 157,102 ",,,,
2022-11-10," 158,857 ",,,,
2022-11-11," 165,833 ",,,,
2022-11-12," 66,917 ",,,,
2022-11-13," 87,874 ",,,,
2022-11-14," 141,077 ",,,,
2022-11-15," 125,177 ",,,,
2022-11-16," 141,697 ",,,,
2022-11-17," 148,576 ",,,,
2022-11-18," 152,302 ",,,,
2022-11-19," 126,814 ",,,,
2022-11-20," 119,927 ",,,,
2022-11-21," 147,806 ",,,,
2022-11-22," 140,744 ",,,,
2022-11-23," 148,238 ",,,,
2022-11-24," 146,932 ",,,,
2022-11-25," 145,164 ",,,,
2022-11-26," 90,547 ",,,,
2022-11-27," 82,725 ",,,,
2022-11-28," 57,036 ",,,,
2022-11-29," 92,580 ",,,,
2022-11-30," 75,346 ",,,,
2022-12-01," 74,904 ",,,,
2022-12-02," 84,067 ",,,,
2022-12-03," 57,915 ",,,,
2022-12-04," 44,873 ",,,,
2022-12-05," 77,693 ",,,,
2022-12-06," 80,832 ",,,,
2022-12-07," 96,195 ",,,,
2022-12-08," 100,979 ",,,,
2022-12-09," 102,213 ",,,,
2022-12-10," 72,960 ",,,,
2022-12-11," 60,129 ",,,,
2022-12-12," 59,098 ",,,,
2022-12-13," 57,490 ",,,,
2022-12-14," 54,486 ",,,,
2022-12-15," 37,021 ",,,,
2022-12-16," 41,953 ",,,,
2022-12-17," 31,405 ",,,,
2022-12-18," 25,468 ",,,,
2022-12-19," 51,854 ",,,,
2022-12-20," 64,282 ",,,,
2022-12-21," 31,784 ",,,,
2022-12-22," 39,874 ",,,,
2022-12-23," 33,723 ",,,,
2022-12-24," 28,612 ",,,,
2022-12-25," 25,623 ",,,,
2022-12-26," 52,582 ",,,,
2022-12-27," 58,890 ",,,,
2022-12-28," 54,012 ",,,,
2022-12-29," 57,393 ",,,,
2022-12-30," 56,058 ",,,,
2022-12-31," 42,347 ",,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
